UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rolling_mean,Air temperature [K]_rolling_std,Air temperature [K]_rolling_var,Process temperature [K]_rolling_mean,Process temperature [K]_rolling_std,Process temperature [K]_rolling_var,Rotational speed [rpm]_rolling_mean,Rotational speed [rpm]_rolling_std,Rotational speed [rpm]_rolling_var,Torque [Nm]_rolling_mean,Torque [Nm]_rolling_std,Torque [Nm]_rolling_var,Tool wear [min]_rolling_mean,Tool wear [min]_rolling_std,Tool wear [min]_rolling_var,Timestamp,ambient_temp,humidity,factory_load,ambient_gap,load_stress,wear_efficiency,mechanical_stress,heat_stress,Type_L,Type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:00:00,34.0709087842758,82,53,274.52909121572424,2268.3999999999996,0.0,66382.79999999999,2793.8145203106155,False,True
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:05:00,34.46510636754446,57,51,274.2348936324555,2361.2999999999997,0.0021291696238466998,65190.399999999994,1964.511062950034,True,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:10:00,31.08985619558824,80,86,277.41014380441175,4248.4,0.00333555703802535,74001.2,2487.1884956470594,True,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:15:00,28.255334330628745,86,83,280.3446656693713,3278.5,0.0048814504881450485,56603.5,2429.9587524340723,True,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:20:00,36.49854208817833,57,99,272.20145791182165,3960.0,0.0063875088715401,56320.0,2080.416899026165,True,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:25:00,30.663367239898864,79,55,277.93663276010113,2304.5,0.007713884992987377,59707.5,2422.4060119520104,False,True
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:30:00,36.5899939432438,75,75,272.0100060567562,3180.0,0.008980115458627326,66059.2,2744.2495457432847,True,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:35:00,33.10422183971323,66,60,275.4957781602868,2412.0,0.010471204188481676,61385.4,2184.8786414210736,True,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:40:00,30.548227964682265,52,91,278.1517720353177,2602.6,0.01079136690647482,47676.200000000004,1588.5078541634778,False,True
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2026-01-01 00:45:00,33.180329141850194,86,50,275.81967085814983,1400.0,0.012055109070034443,48748.0,2853.5083061991168,False,True
